customer_order_id, user_id, cost, order_date, order_time,status_id
1,1,33.25,  2022-10-02,  10:49:37,1
2,2,25.25,  2022-10-02,  09:51:05,1
3,3,25.5,  2022-10-02,  08:38:46,1
4,3,42.75,  2022-10-02,  16:57:32,1
5,2,66,  2022-10-02,  14:00:08,1
6,2,69.5,  2022-10-03,  16:16:17,1
7,3,57,  2022-10-03,  13:42:07,1
8,2,22.75,  2022-10-03,  14:06:28,1
9,2,71.5,  2022-10-03,  12:25:22,1
10,1,91,  2022-10-04,  15:06:30,1
11,1,34.75,  2022-10-04,  09:06:18,1
12,1,24.5,  2022-10-04,  12:04:38,1
13,2,10.5,  2022-10-04,  09:08,1
14,3,87,  2022-10-04,  13:38:16,1
15,2,49.5,  2022-10-04,  12:49:32,1
16,1,35.75,  2022-10-04,  10:21:36,1
17,3,54.25,  2022-10-04,  10:14:36,1
18,2,14,  2022-10-05,  12:54:24,1
19,2,71,  2022-10-05,  09:11:30,1
20,1,68.5,  2022-10-05,  08:38:08,1
21,1,121.5,  2022-10-05,  15:32:11,1
22,2,22,  2022-10-05,  11:23:19,1
23,3,56,  2022-10-05,  10:57:02,1
24,1,1.75,  2022-10-05,  11:07:21,1
25,1,30,  2022-10-05,  14:56:24,1
26,1,50.75,  2022-10-05,  16:55:13,1
27,2,32,  2022-10-05,  10:10:36,1
28,2,1.75,  2022-10-05,  13:41:15,1
29,1,123.5,  2022-10-05,  13:29:53,1
30,3,44,  2022-10-06,  10:54:31,1
31,3,17,  2022-10-06,  08:33:57,1
32,1,108,  2022-10-06,  13:55:21,1
33,3,17.5,  2022-10-06,  09:46:23,1
34,3,15.75,  2022-10-07,  14:39:25,1
35,1,36.25,  2022-10-07,  09:02:11,1
36,2,52.5,  2022-10-07,  14:25:10,1
37,1,82.25,  2022-10-07,  12:09:18,1
38,3,4.5,  2022-10-07,  12:11:43,1
39,1,35,  2022-10-07,  09:09:14,1
40,1,42,  2022-10-07,  15:31:06,1
41,3,78,  2022-10-07,  15:30:56,1
42,2,56.5,  2022-10-07,  14:49:20,1
43,3,59.5,  2022-10-07,  09:59:52,1
44,2,37.25,  2022-10-07,  08:50:36,1
45,2,34.5,  2022-10-07,  10:12:21,1
46,3,72,  2022-10-07,  14:53:38,1
47,1,55.5,  2022-10-07,  10:43:26,1
48,2,54,  2022-10-08,  11:49:47,1
49,2,52.5,  2022-10-08,  08:55:25,1
50,3,12.25,  2022-10-08,  08:59:21,1
51,3,11,  2022-10-08,  09:53,1
52,2,32.5,  2022-10-08,  08:40:28,1
53,3,7.5,  2022-10-08,  11:41:59,1
54,1,27.25,  2022-10-08,  12:09:46,1
55,3,67.5,  2022-10-08,  14:54:44,1
56,2,92.5,  2022-10-08,  16:46:18,1
57,3,22.5,  2022-10-08,  12:36:12,1
58,2,17.5,  2022-10-08,  09:27:58,1
59,1,19.25,  2022-10-08,  11:58:03,1
60,2,134.25,  2022-10-08,  11:42:21,1
61,2,82.25,  2022-10-08,  15:37:56,1
62,2,19.5,  2022-10-08,  11:30:06,1
63,1,17.5,  2022-10-09,  16:49:36,1
64,2,56.25,  2022-10-09,  15:29:24,1
65,2,82,  2022-10-09,  08:41:31,1
66,3,78.75,  2022-10-09,  15:06:08,1
67,3,43.75,  2022-10-09,  10:11:42,1
68,3,40.5,  2022-10-09,  15:26,1
69,3,80,  2022-10-09,  13:15:19,1
70,1,26.5,  2022-10-09,  16:32:40,1
71,2,72.25,  2022-10-09,  08:48:48,1
72,2,33.5,  2022-10-09,  10:22:41,1
73,2,18,  2022-10-09,  13:42:53,1
74,2,129.5,  2022-10-09,  08:08:38,1
75,3,70.5,  2022-10-09,  16:22:10,1
76,1,26.25,  2022-10-09,  08:47:32,1
77,1,76.75,  2022-10-09,  11:24:14,1
78,1,36,  2022-10-09,  15:27:39,1
79,2,17.5,  2022-10-09,  10:02:17,1
80,3,27.5,  2022-10-10,  14:37:32,1
81,1,21,  2022-10-10,  16:49:58,1
82,1,43,  2022-10-10,  08:33:28,1
83,3,27,  2022-10-10,  15:13:55,1
84,1,31.5,  2022-10-10,  15:22:59,1
85,1,20,  2022-10-10,  09:43:01,1
86,3,65.75,  2022-10-10,  12:02:14,1
87,3,49,  2022-10-10,  12:00:01,1
88,3,14,  2022-10-10,  11:15:55,1
89,2,7.5,  2022-10-10,  15:45:34,1
90,2,88.75,  2022-10-10,  16:19:12,1
91,3,37,  2022-10-10,  16:47,1
92,2,46.5,  2022-10-10,  10:25:30,1
93,3,11,  2022-10-10,  16:40:28,1
94,2,38.25,  2022-10-10,  08:33:41,1
95,3,5.25,  2022-10-10,  08:19:04,1
96,1,24.25,  2022-10-10,  16:24:57,1
97,3,33.75,  2022-10-10,  15:19:24,1
98,1,94.25,  2022-10-11,  08:21:14,1
99,3,66.75,  2022-10-11,  09:19:44,1
100,3,18,  2022-10-11,  08:14:04,1
101,1,42.25,  2022-10-11,  08:33:33,1
102,3,23.25,  2022-10-11,  09:33:02,1
103,1,15.75,  2022-10-11,  08:57:56,1
104,2,76.75,  2022-10-11,  11:15:56,1
105,1,14,  2022-10-11,  15:25:03,1
106,3,15.75,  2022-10-11,  15:58:44,1
107,1,24.5,  2022-10-12,  11:16:11,1
108,2,82,  2022-10-12,  15:43:19,1
109,1,81.5,  2022-10-12,  11:39:47,1
110,3,33.25,  2022-10-12,  08:49:38,1
111,3,55.25,  2022-10-12,  14:51:50,1
112,3,74.75,  2022-10-12,  08:43:40,1
113,2,39.5,  2022-10-12,  08:19:30,1
114,1,5.25,  2022-10-13,  14:03:42,1
115,1,62,  2022-10-13,  10:31:58,1
116,2,22.75,  2022-10-13,  09:08:42,1
117,3,38.5,  2022-10-13,  16:36:10,1
118,1,16.5,  2022-10-13,  11:15:39,1
119,1,20,  2022-10-13,  12:44:09,1
120,3,49.5,  2022-10-13,  08:01:30,1
121,3,26.25,  2022-10-13,  14:44:01,1
122,3,63.25,  2022-10-13,  09:59:55,1
123,2,25.25,  2022-10-13,  11:24:32,1
124,2,54,  2022-10-13,  08:25:10,1
125,2,19.25,  2022-10-13,  12:02:49,1
126,3,29.75,  2022-10-13,  09:38:43,1
127,1,22.75,  2022-10-13,  14:04:35,1
128,2,36.5,  2022-10-13,  13:38:25,1
129,3,32.25,  2022-10-13,  16:17:14,1
130,2,54.25,  2022-10-13,  09:25:08,1
131,3,73.25,  2022-10-13,  10:37:03,1
132,1,50.25,  2022-10-14,  15:33:45,1
133,1,44.5,  2022-10-14,  13:38:25,1
134,3,66.25,  2022-10-14,  16:50:44,1
135,1,51,  2022-10-14,  14:07:50,1
136,1,66,  2022-10-14,  09:55:14,1
137,2,118.75,  2022-10-14,  14:51:16,1
138,3,22,  2022-10-14,  16:54:41,1
139,1,3.5,  2022-10-14,  10:07:22,1
140,2,16.5,  2022-10-14,  16:38:49,1
141,2,16.5,  2022-10-14,  12:10:16,1
142,3,33,  2022-10-14,  14:45:49,1
143,2,18,  2022-10-14,  09:47:23,1
144,3,93.25,  2022-10-14,  13:07:22,1
145,3,62,  2022-10-14,  09:37:39,1
146,2,34.75,  2022-10-14,  11:37:32,1
147,2,11,  2022-10-15,  08:20:45,1
148,2,17.5,  2022-10-15,  16:40:47,1
149,3,80,  2022-10-15,  10:40:10,1
150,2,55,  2022-10-15,  16:05:58,1
151,1,14,  2022-10-15,  10:24:15,1
152,1,26.25,  2022-10-15,  13:53:12,1
153,2,1.75,  2022-10-16,  16:18:21,1
154,3,17.5,  2022-10-16,  13:37:44,1
155,3,17.5,  2022-10-16,  10:08:58,1
156,3,61.75,  2022-10-16,  13:09:48,1
157,2,23.75,  2022-10-16,  11:20:47,1
158,3,76,  2022-10-16,  16:14:10,1
159,1,52.25,  2022-10-16,  08:49:53,1
160,1,25.75,  2022-10-16,  08:46:20,1
161,3,4,  2022-10-16,  12:52:23,1
162,3,1.75,  2022-10-16,  15:46:51,1
163,2,22.75,  2022-10-16,  11:37:40,1
164,3,29,  2022-10-17,  14:55:06,1
165,2,68,  2022-10-17,  09:40:45,1
166,2,34.5,  2022-10-17,  11:52:49,1
167,2,27.5,  2022-10-17,  14:16:10,1
168,1,84,  2022-10-17,  15:34:20,1
169,2,99.75,  2022-10-17,  14:37:25,1
170,3,19.25,  2022-10-17,  08:27:54,1
171,1,44,  2022-10-18,  08:15:18,1
172,2,36.75,  2022-10-18,  10:38:08,1
173,3,36,  2022-10-18,  16:26:59,1
174,3,57.25,  2022-10-18,  15:50:08,1
